quarter,top_words
2021Q1,"inflation, federal, policy, financial, percent, reserve, climate, market, 2020, employment, https, monetary, rate, labor, economic, new, 2021, www, time, board"
2021Q2,"inflation, federal, policy, percent, reserve, 2021, monetary, financial, rate, 2020, https, year, bank, economic, payments, economy, 10, banks, cbdc, level"
2021Q3,"inflation, banks, federal, percent, reserve, 2021, bank, policy, community, pandemic, financial, data, labor, cbdc, employment, economic, 2020, board, year, rate"
2021Q4,"federal, reserve, financial, inflation, policy, bank, economic, 2021, percent, 2020, banks, market, monetary, https, economy, www, year, libor, native, new"
2022Q1,"inflation, policy, federal, financial, market, percent, monetary, 2022, labor, year, reserve, rate, pandemic, economy, 2021, housing, supply, demand, employment, home"
2022Q2,"inflation, rate, policy, unemployment, percent, federal, market, labor, income, 2021, 2022, vacancies, reserve, households, financial, economy, year, committee, monetary, high"
2022Q3,"inflation, financial, banks, federal, bank, policy, percent, market, reserve, banking, services, 2022, crypto, labor, year, risks, high, rate, monetary, data"
2022Q4,"inflation, policy, financial, federal, percent, 2022, reserve, capital, labor, pandemic, monetary, rate, economic, https, bank, year, market, supply, growth, banks"
2023Q1,"inflation, federal, reserve, banks, policy, rate, bank, percent, price, monetary, market, financial, services, 2022, fed, board, economic, new, https, crypto"
2023Q2,"bank, banking, financial, banks, federal, inflation, novo, policy, reserve, 2023, new, regulatory, economic, risk, risks, economy, credit, supervision, time, data"
2023Q3,"policy, inflation, federal, economic, banks, risk, capital, ai, market, indigenous, reserve, bank, economy, data, financial, monetary, changes, year, 2023, labor"
2023Q4,"financial, policy, federal, banks, bank, reserve, inflation, market, monetary, economic, board, banking, 2023, risk, data, economy, rate, percent, https, risks"
